"","logFC","logCPM","F","PValue","FDR"
"NICN1",-5.00709568441203,2.89459347624624,362.705595822747,6.21350002455153e-15,3.72810001473092e-13
"UBA7",1.23856318403323,4.10465763811188,56.4581215971602,1.92149809670271e-07,5.76449429010812e-06
"COL7A1",0.912292012784063,5.10663564068546,28.9725725338952,2.26995698661124e-05,0.000453991397322247
"GPX1",0.334083879431978,7.82236077001884,14.2777696677323,0.00106826629667114,0.013495932170697
"SLC26A6",0.490126976629589,4.64751715753283,14.1163090845741,0.00112466101422475,0.013495932170697
"MST1",0.905963716908539,0.947816747573901,10.2890411712301,0.00414513722881427,0.0414513722881427
"IMPDH2",0.247055867934616,6.3643898662979,9.74520053901965,0.00506453709501193,0.0434103179572452
"TRAIP",0.7334792375147,1.19178131776528,8.63026909876205,0.0077419223529215,0.0580644176469112
"PFKFB4",0.382445559070681,3.97518118867606,7.74896233395319,0.0109829599354187,0.0732197329027913
"RHOA",-0.148472324357799,10.1178788021383,6.41002839870007,0.0192022717243864,0.115213630346318
"HYAL3",0.374050400868073,3.2272887278716,6.01171737386474,0.0228371546524568,0.12456629810431
"SEMA3B",1.50126675403556,2.55831301837409,4.85931183566111,0.038530514211333,0.192652571056665
"SLC38A3",-1.30610426729281,0.13847429562324,3.88233529798817,0.0618263626109298,0.285352442819676
"SHISA5",0.123721791991196,7.92888388706028,2.64237485837174,0.118635968011131,0.508439862904845
"USP19",0.219932649538167,5.14012316839311,2.43789464665035,0.133053314837198,0.532213259348792
"QARS1",0.145456856888431,6.9139066444067,2.25141923471346,0.148053242700184,0.543470474458935
"AMIGO3",0.519527096359063,0.31634112971856,2.18385497252393,0.153983301096698,0.543470474458935
"LAMB2",0.162984505332016,9.31941390428573,1.90657146084015,0.181548388201094,0.605161294003646
"KLHDC8B",0.125047132047971,4.85173126097213,1.53397024657435,0.228886942566975,0.722800871264133
"CELSR3",0.522782030344938,0.26897242234514,1.3078226237151,0.26537880376381,0.769642626488614
"AMT",-0.568199490749411,0.994313785815088,1.16703330786727,0.291996301192708,0.769642626488614
"SLC25A20",-0.101541844078644,5.86600933037104,1.15676599257084,0.294073957770571,0.769642626488614
"TMA7",0.0995324291111616,6.92970076425024,1.11321843405528,0.303110763265624,0.769642626488614
"NDUFAF3",0.161575143137333,6.82216420702034,1.09104376405546,0.307857050595446,0.769642626488614
"NPRL2",0.0866986543267022,4.85365857310062,0.758594064504571,0.393402414823039,0.89863709441222
"TCTA",0.0617588643922341,7.30875932769477,0.758344601233257,0.393478886043172,0.89863709441222
"P4HTM",0.246780921561047,4.42447610223275,0.670567908100373,0.421849291649994,0.89863709441222
"SEMA3F",-0.183304630467958,3.41501858659254,0.629800874961979,0.436110748414035,0.89863709441222
"CCDC51",0.0814336083509757,4.63096030229413,0.583450380572965,0.453274897906075,0.89863709441222
"APEH",0.0609858062492614,6.73804007855841,0.515457862832317,0.480524654942399,0.89863709441222
"QRICH1",-0.0589762294001119,5.51019444906966,0.507392059019442,0.483938575166816,0.89863709441222
"PRKAR2A",-0.0849733956087705,4.66020192408019,0.483091285944612,0.494478648432411,0.89863709441222
"ARIH2OS",0.111703295559211,1.10392407943922,0.450087024561776,0.509446249459704,0.89863709441222
"USP4",-0.0611774442007305,5.97408735368919,0.447078137373278,0.510850506543696,0.89863709441222
"PLXNB1",0.111392911735675,3.69661813218441,0.419187496660946,0.524204971740462,0.89863709441222
"CCDC71",0.15215664355872,0.329628116698512,0.31716670097714,0.579149155338674,0.953934459024693
"IHO1",0.289986935775392,2.14812999967542,0.298390555237935,0.590524295069398,0.953934459024693
"RBM6",0.0549155372537489,5.11851697257839,0.270908033399735,0.60804889950711,0.953934459024693
"WDR6",0.0454977873578164,7.11317367581257,0.223702925609202,0.641005226458068,0.953934459024693
"DALRD3",0.172900535262817,3.3835749750487,0.215652423003264,0.647046614506239,0.953934459024693
"IP6K1",0.0546224294782254,5.1550488332024,0.193739748797707,0.664220858423357,0.953934459024693
"GNAI2",0.160150722430274,8.04245985715473,0.189406402471628,0.667754121317285,0.953934459024693
"RASSF1",0.0303930178741546,6.03583370960776,0.109611183682673,0.743796343393718,0.983488835328513
"NCKIPSD",0.0756116313098243,3.33904376363058,0.0694032272084422,0.794719192881903,0.983488835328513
"INKA1",0.0390426061216781,2.90076096167775,0.0692023940622258,0.795009322005481,0.983488835328513
"ARIH2",0.0283820834251568,5.78441967915161,0.0458733108662947,0.832427050079941,0.983488835328513
"C3orf62",0.0701367954575062,0.47565217793095,0.0388082471910415,0.845681743593677,0.983488835328513
"IP6K2",0.0181644524528867,6.10535149789381,0.0316591260835536,0.860445726790855,0.983488835328513
"CYB561D2",-0.0168597487798326,6.31808751451061,0.0298503615932956,0.864448354999688,0.983488835328513
"GMPPB",-0.044111262423956,5.20794747703597,0.0279204916061642,0.868859446224313,0.983488835328513
"DAG1",0.0211363114586356,5.93778470546989,0.0271847744429328,0.870582255603094,0.983488835328513
"HYAL2",-0.0521533355357072,5.99674096894996,0.0246842997594588,0.876624205158317,0.983488835328513
"IFRD2",0.0499872499116549,5.16684476136441,0.0178646778327598,0.894917130459909,0.983488835328513
"UQCRC1",-0.0292872910826374,7.7838782101267,0.0172965131249926,0.89659143211302,0.983488835328513
"NAA80",-0.01869244218345,2.37689419297175,0.0131359328121195,0.909817539979275,0.983488835328513
"RBM5",0.0124829417117092,5.50320398193725,0.0108722230539224,0.917922912973278,0.983488835328513
"TMEM115",0.0103984649015407,7.0528921418371,0.00437701835954044,0.947863323049388,0.997750866367777
"MON1A",0.0189701296242158,3.63258736179998,0.00159112966632048,0.968550200278524,0.998065904346928
"TUSC2",0.00200100496419924,4.19687556362071,1.24956542138314e-05,0.997212183607122,0.998065904346928
"RNF123",0.000302901618467743,5.37432110892653,6.0143068136548e-06,0.998065904346928,0.998065904346928
